Age,Ethnicity,Gender,Sexual Orientation,Profession,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q75,Q76,Q77,Q78,Q79,Q81,Q82,Q83,Q84,Q85,Q86,Q52,Q53,Q54,Q55,Q56,Q95,Q96,Q97,Q98,Q99,Q101,Q103,Q104,Q105,Q106,Q100,type_transgression
2,4,2,3,1,3,2,1,4,4,2,1,4,3,3,5,2,2,1,1,1,4,1,5,3,5,2,4,5,3,5,1,4,5,3,5,2,4,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,5,4,5,3,5,1,2,2,2,5,5,5,1,4,4,5,2,,,,,,,,,,,,,,,,,4,1,4,1,4,4,3,5,2,4,7,7,8,6,7,,0
2,1,2,3,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,2,2,1,1,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,4,4,3,5,5,5,3,2,3,3,5,4,3,1,4,3,4,4,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,4,1,5,6,4,6,4,4,"Transphobe = 100% morally wrong she is an awful person no matter what i thought before. Dictator friend = confusion, doesnt add up, would want to figure out why/how that happened. Cheating = wouldnt actually be too surprised and want to know more about why/how",0
2,5,1,2,2,4,5,1,5,5,2,2,4,3,4,5,5,5,4,5,5,3,1,,,,,,,,,,,,,,,,,5,5,5,1,5,5,5,5,1,5,8,8,8,6,8,separate the artist and the art,0
2,4,2,1,1,4,4,3,4,5,2,2,1,3,4,4,2,1,1,1,1,4,1,2,1,3,1,3,3,1,1,1,1,4,2,2,1,3,"I only enjoy streaming her music, I do not have any personal affinity towards her",,,,,,,,,,,,,,,,,1
3,1,2,1,1,4,4,3,4,1,4,1,4,1,3,1,4,4,1,4,4,4,1,,,,,,,,,,,,,,,,,4,1,2,3,3,4,1,2,3,3,7,4,6,6,5,,0
2,4,2,1,1,1,3,2,5,2,1,1,2,1,5,4,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,1,1,3,1,1,2,1,2,1,1,6,4,6,4,4,,0
2,4,2,5,1,4,4,5,4,5,4,1,5,2,4,4,4,4,1,1,1,5,1,4,1,4,1,1,1,1,1,1,1,5,1,1,1,4,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,4,5,4,5,5,5,2,5,5,5,5,5,5,4,5,5,5,5,,,,,,,,,,,,,,,,,4,1,2,2,2,4,1,2,1,1,8,7,8,8,8,Because cheating feels more human and like a mistake rather than actively defending transfobic or right.wing views,0
2,5,1,3,1,4,5,4,5,4,3,2,4,2,3,4,5,4,3,4,3,4,1,4,4,5,1,4,4,4,4,1,4,4,4,5,1,4,"I wouldn’t excuse this behaviour — I would call her out, but that doesn’t necessarily mean I’ll stop listening to her music. I don’t know for a fact that’s what she decided by herself, and for the case of concert tickets, that’s just demand and supply nothing to do with her. ",,,,,,,,,,,,,,,,,1
2,5,2,1,1,4,3,4,3,3,1,1,3,2,5,5,4,4,1,1,1,3,1,2,5,4,1,1,2,4,3,1,1,2,1,3,1,1,"I like her music, it resonates with me but im fantic about her as a person",,,,,,,,,,,,,,,,,1
2,1,2,3,1,4,5,4,5,4,5,2,3,4,3,5,5,5,2,5,4,5,5,5,2,5,2,3,4,1,4,1,2,2,1,2,1,1,"I love her music, but since the increase in her capitalist tactics and political silence I have less admiration for her as a human being.",,,,,,,,,,,,,,,,,1
2,1,2,3,1,5,4,4,5,5,5,3,5,3,5,5,5,5,2,5,5,5,4,,,,,,,,,,,,,,,,,3,1,4,1,2,3,1,4,1,2,6,6,8,5,6,,0
2,5,2,1,1,3,4,2,5,4,4,1,4,1,4,5,3,3,1,2,5,5,2,4,1,2,1,4,1,1,1,1,3,4,2,1,1,5,,,,,,,,,,,,,,,,,,1
2,1,2,1,5,3,5,4,4,3,4,2,1,2,3,5,5,5,1,4,5,5,5,2,1,3,3,2,2,2,2,2,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,3,2,3,4,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,4,1,4,2,2,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,3,4,4,5,3,4,1,2,1,5,5,4,4,3,4,5,4,2,,,,,,,,,,,,,,,,,4,3,4,3,3,4,4,4,3,3,8,8,8,6,7,,0
2,1,2,2,1,4,4,2,4,4,2,1,2,4,5,4,4,4,2,4,4,4,4,4,2,4,2,2,2,2,4,2,2,2,1,4,1,1,I dont need to financially support someone that rich,,,,,,,,,,,,,,,,,1
2,1,2,1,1,4,4,3,5,5,4,1,3,1,1,5,4,5,1,5,4,3,3,,,,,,,,,,,,,,,,,3,1,2,1,1,1,1,1,1,1,8,6,8,6,8,"I like her music but I’m fully aware she’s a different person who isn’t potentially the best human out there (like her overuse of her private jet). Knowing this I still very much enjoy her music, and her vibe. I like her music more than I like her personally but that makes sense given that I’ve never met her. I don’t really care much for her personal relations she’s a free woman, and I do think that the fact that her team has stuck by her for 10 years speak loads about her great attitude towards her team and fans. I do admire her greatly for what she achieved and how she reinvents herself entirely with each album. She’s not worthy of the Nobel peace prize but she’s not acting like she is so I respect that a lot as well",0
2,4,2,3,1,2,4,2,4,4,3,1,3,1,3,5,2,4,1,4,2,4,1,,,,,,,,,,,,,,,,,2,1,1,1,1,2,2,2,2,2,5,4,4,4,4,"I enjoy her music but don't like the idea of idolising her and thinking I know anything about her beyond her curated public persona. If she did something I disagreed with, I would probably continue to listen to her music but pirated.",0
2,4,2,1,1,5,4,3,5,1,2,1,5,4,5,5,4,5,3,4,5,4,5,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,Cheating is a personal decision that affects Taylor and her partner. Associating with controversial beliefs and political figures affects whole communities.,0
2,5,2,1,1,4,4,1,5,4,5,2,4,2,5,5,5,5,4,5,5,5,5,4,4,5,1,4,2,1,2,1,4,5,3,5,2,4,,,,,,,,,,,,,,,,,,1
2,1,2,1,1,1,2,4,5,2,1,1,1,1,5,4,1,4,1,4,1,2,2,,,,,,,,,,,,,,,,,2,1,1,1,1,4,1,1,1,1,7,4,4,4,4,"I like her music, I don’t particularly care for her",0
2,1,2,1,1,3,4,2,5,2,2,2,2,2,3,4,4,2,2,5,2,2,2,4,2,4,2,3,2,2,2,2,2,3,2,3,2,3,,,,,,,,,,,,,,,,,,1
2,4,1,1,1,1,3,3,2,2,1,1,1,1,1,2,1,3,1,1,1,4,4,5,3,3,2,3,5,2,2,2,3,5,2,2,1,1,I'm not a huge Taylor Swift fan but I like her music and would always be able to separate art from artist enough to listen to that music in the majority of cases,,,,,,,,,,,,,,,,,1
